instance_id,problem_name,source_type,sif_N,dimension,dimension_group,final_selection_hash,selected
HS110[N=200],HS110,scalable,200.0,200,large_101_500,019766cb46ed2d6bc80c12fb8bb496955c7585c2c51e0085c9e1a1df1384273b,True
EXPLIN2[N=12],EXPLIN2,scalable,12.0,101,large_101_500,19ab8be3408d0eb7b4fd393f9ca0473396f4b382245caad16b9572b2a7cd1ab6,True
DIAGPQT[N=500],DIAGPQT,scalable,500.0,500,large_101_500,1dac15627d3f980cbaadeec21c72725a17f1f78b6325571ccee62f1c0302b2a7,True
EXPLIN[N=12],EXPLIN,scalable,12.0,101,large_101_500,28a6513788103ebde830255486b49b789562fe2e7a5fbf2949f6e7deffb0bae2,True
DIAGNQE[N=500],DIAGNQE,scalable,500.0,500,large_101_500,2940bd15bf1b50fef194d94072751929210c24c7fce8100a0d8b13600bd40854,True
EXPLIN2[N=120],EXPLIN2,scalable,120.0,120,large_101_500,30ad284dea57c1e41f669692732329e3b1a24553c0ef969f1ca681f30eb15cb1,False
DIAGNQB[N=500],DIAGNQB,scalable,500.0,500,large_101_500,450157ff88cf7546978a6b8c89f5a52b619ddbbd2aee6e8c94c1efc509ceedc1,True
DIAGPQB[N=500],DIAGPQB,scalable,500.0,500,large_101_500,a1fdaa42c1ad8d26c33f8c6111ec35ccbbaf177226ff55645718046c0c575ebc,True
DIAGIQB[N=500],DIAGIQB,scalable,500.0,500,large_101_500,a5139fb454f00f6702af420bb7a60b6edde6be1e444efee538eab760e19a9644,True
NONSCOMP[N=500],NONSCOMP,scalable,500.0,500,large_101_500,b00d7ed044bb49dd554930a9e07c10e4a10602c3f45041f7951a5d6a8abaf8e4,True
DIAGNQT[N=500],DIAGNQT,scalable,500.0,500,large_101_500,c8cea09bd1f9ae01129df4849a5697f4ba74e1a8eb9f44bbc68e3d1f1ecdf62e,True
PROBPENL[N=500],PROBPENL,scalable,500.0,500,large_101_500,cc52ca36093141cbf22b25f3b98a1e326d020fb636e54d88e62b1a9241b29a1e,False
DIAGIQE[N=500],DIAGIQE,scalable,500.0,500,large_101_500,db614ca5c58d5e05f394006b9107f3b2b6ec1e4e7fe383ccee9ffedfae38eecd,False
DIAGIQT[N=500],DIAGIQT,scalable,500.0,500,large_101_500,e7ffacf94a27020f1d4cd92dde22071468daff53057ca9989b70a4dff582367a,False
DIAGPQE[N=500],DIAGPQE,scalable,500.0,500,large_101_500,f98674fe395112622a5b00f625318118abecbce0e7394dc6db2a490dadd69189,False
EXPLIN[N=120],EXPLIN,scalable,120.0,120,large_101_500,fbac6c0659f7e437cec78925a4b962cec73e9794dcce01a8c7df8dfe878676e6,False
DIAGNQT[N=50],DIAGNQT,scalable,50.0,50,medium_21_100,0a316cea71c0f1c919fc592f6d0bda1ec834c8e15fbe7f7b7dc520148d7c7ea6,True
DIAGIQT[N=50],DIAGIQT,scalable,50.0,50,medium_21_100,18bfdd200357158e96491218f5d9f1b83bfe6dd88454ed79807927cd4afe368a,True
DIAGNQE[N=50],DIAGNQE,scalable,50.0,50,medium_21_100,20875e8571af69028300b39325434dabac5c9a275bf10de3e3af43d842b5cde6,False
BQPGASIM,BQPGASIM,fixed,,50,medium_21_100,2813d43553ab8b19fb5c3eb00851de916ad1a175a78e72f69b9c1042774d6ac1,True
DIAGPQE[N=50],DIAGPQE,scalable,50.0,50,medium_21_100,37c695d8eeb90c725c727724d8c5c17559a7b5238383a3be3fdc08388811cee8,True
HS110[N=50],HS110,scalable,50.0,50,medium_21_100,3943f39f1a355173488ebc7cdd5d2c143be8b44a7ec954b7de581580e9bfb4f8,False
DIAGPQB[N=50],DIAGPQB,scalable,50.0,50,medium_21_100,3f3557fc5566aad1b93ce7f31e97966f50c89499756cce4fa9f7f85c8fb6d5af,False
STRTCHDVB[N=100],STRTCHDVB,scalable,100.0,100,medium_21_100,43c0474157c9d53c7e5024536ffd5b51f0be5a68ed8934a81e4aa0f7f3837948,True
HADAMALS[N=10],HADAMALS,scalable,10.0,90,medium_21_100,4ddc0d0c33cc437e483426d20b7456097565f42ad2a3e5631c11c372f724c335,True
SANTALS,SANTALS,fixed,,21,medium_21_100,5916c9a19a8354813dc7640a63bfa2540181218ce84eeb95fab8ef0ea91c476a,True
DIAGPQT[N=50],DIAGPQT,scalable,50.0,50,medium_21_100,67b28148627f9545c8b0409c73bcdf569c74ad50172248d8815ce1ae50d36b3d,False
TRIGON2B[N=100],TRIGON2B,scalable,100.0,100,medium_21_100,6f812e8f264a6dec332307b31e3bce0471796e9a6f3676234692e1f9089bb383,True
NCVXBQP1[N=50],NCVXBQP1,scalable,50.0,50,medium_21_100,71850f03fb21f2d13f11f7a353815a4ba02e1752b7fec6e01ea36fd8e000653c,True
TRIGON1B[N=100],TRIGON1B,scalable,100.0,100,medium_21_100,82cb71fc0806d8c3f312cdce3b69c1b76a4e27c21e4d6bef16a46ac9e6fe74d3,True
DIAGIQB[N=50],DIAGIQB,scalable,50.0,50,medium_21_100,8631dfed0db49c4c2e90b397f6f7febd724430651fb9448dd0b8fa7abccf881d,False
CHEBYQAD[N=50],CHEBYQAD,scalable,50.0,50,medium_21_100,87fdeca8708ce84c121eac07ac80aa3b69243a85eaf9bfefa07a6cca7583e0e7,True
