function_index,group_id,group_name
1,G1,separable
2,G1,separable
3,G1,separable
4,G1,separable
5,G1,separable
6,G2,low_or_moderate_conditioning
7,G2,low_or_moderate_conditioning
8,G2,low_or_moderate_conditioning
9,G2,low_or_moderate_conditioning
10,G3,highly_conditioned_unimodal
11,G3,highly_conditioned_unimodal
12,G3,highly_conditioned_unimodal
13,G3,highly_conditioned_unimodal
14,G3,highly_conditioned_unimodal
15,G4,multimodal_adequate_global_structure
16,G4,multimodal_adequate_global_structure
17,G4,multimodal_adequate_global_structure
18,G4,multimodal_adequate_global_structure
19,G4,multimodal_adequate_global_structure
20,G5,multimodal_weak_global_structure
21,G5,multimodal_weak_global_structure
22,G5,multimodal_weak_global_structure
23,G5,multimodal_weak_global_structure
24,G5,multimodal_weak_global_structure
