domain,task_name,task_id,instance,dimension,budget_multiplier,budget,paired_seed,seed,algorithm
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,0,30370808,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,0,30370808,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,0,30370808,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,0,30370808,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,0,30370808,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,0,30370808,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,0,30370808,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,1,30370809,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,1,30370809,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,1,30370809,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,1,30370809,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,1,30370809,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,1,30370809,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,1,30370809,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,2,30370810,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,2,30370810,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,2,30370810,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,2,30370810,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,2,30370810,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,2,30370810,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,2,30370810,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,3,30370811,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,3,30370811,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,3,30370811,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,3,30370811,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,3,30370811,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,3,30370811,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,3,30370811,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,4,30370812,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,4,30370812,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,4,30370812,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,4,30370812,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,4,30370812,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,4,30370812,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,4,30370812,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,5,30370813,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,5,30370813,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,5,30370813,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,5,30370813,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,5,30370813,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,5,30370813,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,5,30370813,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,6,30370814,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,6,30370814,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,6,30370814,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,6,30370814,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,6,30370814,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,6,30370814,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,6,30370814,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,7,30370815,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,7,30370815,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,7,30370815,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,7,30370815,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,7,30370815,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,7,30370815,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,7,30370815,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,8,30370816,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,8,30370816,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,8,30370816,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,8,30370816,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,8,30370816,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,8,30370816,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,8,30370816,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,9,30370817,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,9,30370817,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,9,30370817,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,9,30370817,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,9,30370817,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,9,30370817,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i11_d6,11,6,300,1800,9,30370817,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,0,30380808,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,0,30380808,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,0,30380808,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,0,30380808,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,0,30380808,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,0,30380808,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,0,30380808,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,1,30380809,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,1,30380809,CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,1,30380809,BIPOP_CMA_ES
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,1,30380809,L_SHADE_1_0_1
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,1,30380809,jSO
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,1,30380809,L_SRTDE
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,1,30380809,MS_LBFGSB
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,2,30380810,BasinGraph
c1,elliptic_pde_inverse,elliptic_pde_inverse_i12_d8,12,8,300,2400,2,30380810,CMA_ES
