algorithm,algorithm_id,problem_id,dimension,budget,seed,fbest,nfe,message,result_folder
BasinGraph,basingraph,bbob_f001_i01_d02,2,2000,20260613,79.48,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i02_d02,2,2000,20260614,394.48,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i03_d02,2,2000,20260615,-247.11,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i04_d02,2,2000,20260616,-152.04,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i05_d02,2,2000,20260617,-25.25,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i71_d02,2,2000,20260618,183.01,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i72_d02,2,2000,20260619,183.52,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i73_d02,2,2000,20260620,-593.84,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i74_d02,2,2000,20260621,-1000.0,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i75_d02,2,2000,20260622,-25.31,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i76_d02,2,2000,20260623,22.28,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i77_d02,2,2000,20260624,356.14,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i78_d02,2,2000,20260625,-475.7,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i79_d02,2,2000,20260626,-1000.0,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f001_i80_d02,2,2000,20260627,-41.58,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i01_d02,2,2000,20260628,-209.87999999999974,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i02_d02,2,2000,20260629,-92.08999999999953,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i03_d02,2,2000,20260630,-87.88999999998028,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i04_d02,2,2000,20260631,320.19000000001245,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i05_d02,2,2000,20260632,-104.24,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i71_d02,2,2000,20260633,-67.85,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i72_d02,2,2000,20260634,-363.97999999999956,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i73_d02,2,2000,20260635,-18.649999999999544,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i74_d02,2,2000,20260636,174.92000000000047,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i75_d02,2,2000,20260637,-565.96,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i76_d02,2,2000,20260638,70.95000000000036,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i77_d02,2,2000,20260639,47.280000000021786,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i78_d02,2,2000,20260640,-568.8799999999995,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i79_d02,2,2000,20260641,20.69000000000006,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f002_i80_d02,2,2000,20260642,561.6700000000005,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i01_d02,2,2000,20260643,-461.0950409429066,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i02_d02,2,2000,20260644,77.66000000701911,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i03_d02,2,2000,20260645,116.6749590570933,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i04_d02,2,2000,20260646,-1.7200818858134168,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i05_d02,2,2000,20260647,133.17495905709345,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i71_d02,2,2000,20260648,-38.3050409429067,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i72_d02,2,2000,20260649,42.96000000003111,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
BasinGraph,basingraph,bbob_f003_i73_d02,2,2000,20260650,286.2099181141866,2000,budget_exhausted,step12c_corrected_coco_d2351020_f1_24_i1_15_20260618_172900_BasinGraph
