algorithm,evaluations_per_dimension,fraction_problem_seed_pairs_solved,target_residual,problem_seed_pairs
BasinGraph,0.5,0.22,0.001,1500
BasinGraph,0.5136231942760511,0.22,0.001,1500
BasinGraph,0.5276175713966682,0.22,0.001,1500
BasinGraph,0.5419932447538583,0.22,0.001,1500
BasinGraph,0.5567606032930366,0.22,0.001,1500
BasinGraph,0.5719303190208614,0.22,0.001,1500
BasinGraph,0.5875133547176317,0.22,0.001,1500
BasinGraph,0.6035209718598172,0.22,0.001,1500
BasinGraph,0.6199647387584521,0.22,0.001,1500
BasinGraph,0.6368565389192674,0.22,0.001,1500
BasinGraph,0.6542085796306087,0.22,0.001,1500
BasinGraph,0.6720334007853432,0.22,0.001,1500
BasinGraph,0.6903438839431313,0.22,0.001,1500
BasinGraph,0.7091532616396132,0.22,0.001,1500
BasinGraph,0.7284751269492367,0.22,0.001,1500
BasinGraph,0.7483234433086375,0.22,0.001,1500
BasinGraph,0.7687125546076716,0.22,0.001,1500
BasinGraph,0.7896571955553913,0.22,0.001,1500
BasinGraph,0.8111725023284568,0.22,0.001,1500
BasinGraph,0.8332740235096789,0.22,0.001,1500
BasinGraph,0.8559777313245972,0.22,0.001,1500
BasinGraph,0.8793000331842141,0.22,0.001,1500
BasinGraph,0.9032577835422274,0.22,0.001,1500
BasinGraph,0.9278682960753296,0.22,0.001,1500
BasinGraph,0.9531493561953751,0.22,0.001,1500
BasinGraph,0.9791192339024603,0.22,0.001,1500
BasinGraph,1.0057966969882033,0.22,0.001,1500
BasinGraph,1.0332010245987648,0.22,0.001,1500
BasinGraph,1.061352021167413,0.22,0.001,1500
BasinGraph,1.090270030726699,0.22,0.001,1500
BasinGraph,1.1199759516105912,0.22,0.001,1500
BasinGraph,1.1504912515571837,0.22,0.001,1500
BasinGraph,1.1818379832229051,0.22,0.001,1500
BasinGraph,1.214038800119429,0.22,0.001,1500
BasinGraph,1.247116972984811,0.22,0.001,1500
BasinGraph,1.2810964066006767,0.22,0.001,1500
BasinGraph,1.3160016570676205,0.22,0.001,1500
BasinGraph,1.3518579495512952,0.22,0.001,1500
BasinGraph,1.388691196512018,0.22,0.001,1500
BasinGraph,1.426528016431068,0.22,0.001,1500
BasinGraph,1.4653957530472086,0.22,0.001,1500
BasinGraph,1.5053224951173332,0.22,0.001,1500
BasinGraph,1.54633709671552,0.24,0.001,1500
BasinGraph,1.5884691980851606,0.24,0.001,1500
BasinGraph,1.631749247059235,0.24,0.001,1500
BasinGraph,1.6762085210642113,0.24,0.001,1500
BasinGraph,1.7218791497234711,0.24,0.001,1500
BasinGraph,1.7687941380766001,0.24,0.001,1500
BasinGraph,1.816987390431316,0.24,0.001,1500
BasinGraph,1.8664937348652777,0.24,0.001,1500
BasinGraph,1.9173489483954813,0.24,0.001,1500
BasinGraph,1.969589782833429,0.24,0.001,1500
BasinGraph,2.0232539913447596,0.24,0.001,1500
BasinGraph,2.07838035573253,0.24,0.001,1500
BasinGraph,2.1350087144638747,0.24,0.001,1500
BasinGraph,2.1931799914602816,0.24,0.001,1500
BasinGraph,2.252936225672305,0.24,0.001,1500
BasinGraph,2.314320601460079,0.24,0.001,1500
BasinGraph,2.377377479801595,0.24,0.001,1500
