instance_id,algorithm,dimension_group,objective_type,basingraph_median_normalized_residual,mean_normalized_residual,median_log10_residual,q25_normalized_residual,q75_normalized_residual,median_fbest,mean_fbest,median_budget_ratio,median_wall_time_seconds,success_rate_1e_1,basingraph_success_rate_1e_3,success_rate_1e_5,basingraph_rank,final_value_win,best_algorithm,best_median_normalized_residual,residual_ratio_to_best
POWERSUMB[N=10],BasinGraph,small_2_20,sum of squares,0.01287810727888433,0.00911204048631876,-1.8901479614124432,0.0020094508588821137,0.01287810727888433,36719507.11988434,25981303.522088327,1.0,0.007929416460683548,1.0,0.1,0.0,7.0,False,BIPOP-CMA-ES,0.00012611806379966118,102.11152067265418
ELATVIDUB,BasinGraph,small_2_20,sum of squares,0.0033148366375728793,0.0029958808220869183,-2.4795378697173804,0.0033148366375728793,0.0033148366375728793,54.751118642231006,49.647733984079494,1.0,0.012968624971108449,1.0,0.1,0.03333333333333333,5.0,False,Multi-start L-BFGS-B,3.746935446018081e-19,33024625236838.42
S368[N=50],BasinGraph,medium_21_100,other,0.5884339398445202,0.5412254970414295,-0.23030518862366006,0.43370794423134496,0.6315980423051613,-21.9183445539929,-23.284635477936618,1.0,0.07192877051420504,0.0,0.0,0.0,5.0,False,CMA-ES,0.024229908738181736,24.285437729167246
DEVGLA1B,BasinGraph,small_2_20,sum of squares,0.619537552491127,0.4577980715252711,-0.20793236427516834,0.23350643832886392,0.619537552491127,65130.02202940346,48126.8627349713,1.0,0.009836833487497601,0.1,0.0,0.0,4.0,False,BIPOP-CMA-ES,0.14815782468329114,4.181605351019955
JUDGEB,BasinGraph,small_2_20,sum of squares,1.3275039459635293e-17,1.3275039459635292e-17,-16.0,1.3275039459635293e-17,1.3275039459635293e-17,16.081730132960423,16.081730132960423,1.0,0.01351627099211325,1.0,1.0,1.0,4.0,True,BIPOP-CMA-ES,2.413643538115508e-18,1.1060541891323052
WAYSEA2B,BasinGraph,small_2_20,sum of squares,8.47377191105041e-18,8.47377191105041e-18,-16.0,8.47377191105041e-18,8.47377191105041e-18,1.7941765439978336e-14,1.7941765439978336e-14,1.0,0.0113236044708173,1.0,1.0,1.0,4.0,True,BIPOP-CMA-ES,4.554992481449824e-20,1.0842438468534565
FBRAIN2LS,BasinGraph,small_2_20,sum of squares,0.011469422826195855,0.036227086376368976,-1.940470863044676,0.011382659760370242,0.029944969164911284,0.4169430783640904,0.5139990745253877,1.0,0.07467877052840775,0.9,0.0,0.0,4.0,False,Multi-start L-BFGS-B,0.010715499075477333,1.0703582488699837
WAYSEA1B,BasinGraph,small_2_20,sum of squares,5.270919585320669e-19,5.270919585320669e-19,-16.0,5.270919585320669e-19,5.270919585320669e-19,1.954941536390476e-13,1.9549415363904757e-13,1.0,0.01288741597090845,1.0,1.0,1.0,4.0,True,BIPOP-CMA-ES,3.193876318392627e-22,1.0052677088845916
HS25,BasinGraph,small_2_20,sum of squares,3.3668764861205077e-15,3.3668764861205077e-15,-14.472772815414764,3.3668764861205077e-15,3.3668764861205077e-15,1.1058306309410098e-13,1.1058306309410098e-13,1.0,0.0128013335051946,1.0,1.0,1.0,3.0,False,CMA-ES,9.769839254195984e-17,17.536189553917048
HADAMALS[N=10],BasinGraph,medium_21_100,other,0.011210004060332804,0.011373752601030776,-1.950406170169309,0.009392600052819113,0.014920217306591384,62.55299227200702,63.06037628419389,1.0,0.04061441699741405,1.0,0.0,0.0,3.0,False,CMA-ES,0.010306110796867014,1.0877045940298409
NCVXBQP3[N=50],BasinGraph,medium_21_100,quadratic,0.0014146614280615272,0.002418527748326273,-2.852266711496517,0.0004371156829632858,0.0049892081167443435,-183219.441248074,-183035.18839345308,1.0,0.01865552051458505,1.0,0.4666666666666667,0.0,2.0,False,Multi-start L-BFGS-B,0.0,14146614280616.271
NCVXBQP2[N=50],BasinGraph,medium_21_100,quadratic,1.747225145578437e-05,1.747225145578437e-05,-4.757651128684963,1.747225145578437e-05,1.747225145578437e-05,-338851.6966798945,-338851.6966798945,1.0,0.018654562998563003,1.0,1.0,0.0,2.0,False,Multi-start L-BFGS-B,0.0,174722514558.84372
NCVXBQP1[N=50],BasinGraph,medium_21_100,quadratic,8.879757089066554e-07,8.879757089066554e-07,-6.051598914437718,8.879757089066554e-07,8.879757089066554e-07,-507223.44071535714,-507223.44071535714,1.0,0.018334520515054402,1.0,1.0,1.0,2.0,False,Multi-start L-BFGS-B,0.0,8879757090.066553
EXPLIN2[N=12],BasinGraph,large_101_500,other,0.0001726692570724836,0.0001602673789870777,-3.7627849795853554,0.00017266924388850257,0.0001726692642043084,-7688.594474852767,-7688.691084733457,1.0,0.0402691874769516,1.0,1.0,0.0,2.0,False,Multi-start L-BFGS-B,1.4668791024246916e-06,117.71198919897155
FBRAINLS,BasinGraph,small_2_20,sum of squares,1.2720224895138733e-13,0.02615684226603061,-12.895505210239937,1.2720224895138733e-13,6.353942596999584e-08,0.4166029445152504,0.43872495177729226,1.0,0.04827897896757345,0.9,0.8333333333333334,0.8,2.0,False,BIPOP-CMA-ES,9.845375305834935e-16,117.3792933499473
PROBPENL[N=50],BasinGraph,medium_21_100,other,0.7592708986124048,0.7317656990651776,-0.11960324751410324,0.7383918163204384,0.7802953060044971,-27338.978515429713,-37043.927115483755,1.0,0.0191452284925617,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,False,Differential Evolution,0.7519229736401456,1.0097721777759856
EGGCRATEB,BasinGraph,small_2_20,sum of squares,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.0133108749869279,1.0,1.0,1.0,2.0,True,BasinGraph,0.0,1.0
HIMMELP1,BasinGraph,small_2_20,other,7.678600061876529e-16,7.678600061876529e-16,-15.114717951950475,7.678600061876529e-16,7.678600061876529e-16,-62.053935062796654,-62.053935062796654,1.0,0.0134218335151672,1.0,1.0,1.0,2.0,True,BIPOP-CMA-ES,7.678600061876529e-16,1.0
PRICE4B,BasinGraph,small_2_20,sum of squares,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.012988271017093149,1.0,1.0,1.0,2.0,True,BasinGraph,0.0,1.0
STRTCHDVB[N=100],BasinGraph,medium_21_100,sum of squares,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.04354068753309545,1.0,1.0,1.0,2.0,True,BasinGraph,0.0,1.0
BRANIN,BasinGraph,small_2_20,other,0.0,0.0,-16.0,0.0,0.0,0.3978873577000001,0.3978873577000001,1.0,0.012845957971876449,1.0,1.0,1.0,1.5,True,BasinGraph,0.0,1.0
CAMEL6,BasinGraph,small_2_20,other,3.9552373718170955e-17,2.5049836688174938e-17,-16.0,0.0,3.9552373718170955e-17,-1.0316284534898774,-1.0316284534898774,1.0,0.0132425625051837,1.0,1.0,1.0,1.5,True,BasinGraph,3.9552373718170955e-17,1.0
CVXBQP1[N=50],BasinGraph,medium_21_100,quadratic,0.0,0.0,-16.0,0.0,0.0,57.375000000000014,57.375000000000014,1.0,0.018589125043945352,1.0,1.0,1.0,1.5,True,BasinGraph,0.0,1.0
HS110[N=200],BasinGraph,large_101_500,sum of squares,0.0,0.0,-16.0,0.0,0.0,-9.960091570393911e+39,-9.960091570393911e+39,1.0,0.11112804149161085,1.0,1.0,1.0,1.5,True,BasinGraph,0.0,1.0
HS5,BasinGraph,small_2_20,other,0.0,0.0,-16.0,0.0,0.0,-1.913222954981037,-1.913222954981037,1.0,0.0129625215195119,1.0,1.0,1.0,1.5,True,BasinGraph,0.0,1.0
TRIGON1B[N=100],BasinGraph,medium_21_100,sum of squares,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.07127556254272345,1.0,1.0,1.0,1.5,True,BasinGraph,0.0,1.0
