instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group
BQPGABIM,BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,BIPOP-CMA-ES,0.001,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,BIPOP-CMA-ES,0.1,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,BasinGraph,1e-05,30,30,1.0,1299.0,1299.0,46,medium_21_100
BQPGABIM,BasinGraph,0.001,30,30,1.0,1299.0,1299.0,46,medium_21_100
BQPGABIM,BasinGraph,0.1,30,30,1.0,1291.0,1291.0,46,medium_21_100
BQPGABIM,CMA-ES,1e-05,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,CMA-ES,0.001,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,CMA-ES,0.1,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Differential Evolution,1e-05,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Differential Evolution,0.001,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Differential Evolution,0.1,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Latin Hypercube Sampling,0.001,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Latin Hypercube Sampling,0.1,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Multi-start L-BFGS-B,1e-05,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Multi-start L-BFGS-B,0.1,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Random Search,1e-05,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Random Search,0.001,30,0,0.0,inf,,46,medium_21_100
BQPGABIM,Random Search,0.1,30,0,0.0,inf,,46,medium_21_100
BQPGASIM,BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
BQPGASIM,BIPOP-CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
BQPGASIM,BIPOP-CMA-ES,0.1,30,0,0.0,inf,,50,medium_21_100
BQPGASIM,BasinGraph,1e-05,30,30,1.0,1472.0,1472.0,50,medium_21_100
BQPGASIM,BasinGraph,0.001,30,30,1.0,1472.0,1472.0,50,medium_21_100
BQPGASIM,BasinGraph,0.1,30,30,1.0,1458.0,1458.0,50,medium_21_100
BQPGASIM,CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
