objective_type,algorithm,mean_final_value_rank,final_value_wins,median_normalized_residual,mean_success_rate_1e_3,problems
other,BIPOP-CMA-ES,3.230769230769231,3,2.4437056583000767e-05,0.48205128205128206,13
other,BasinGraph,1.8076923076923077,9,0.0,0.7717948717948718,13
other,CMA-ES,3.0,5,0.0011997952412448104,0.4666666666666667,13
other,Differential Evolution,4.6923076923076925,1,0.05745696434334275,0.458974358974359,13
other,Latin Hypercube Sampling,6.3076923076923075,0,0.12074065787660868,0.2,13
other,Multi-start L-BFGS-B,2.8076923076923075,5,5.977790148170877e-13,0.617948717948718,13
other,Random Search,6.153846153846154,0,0.12030580908638361,0.2205128205128205,13
quadratic,BIPOP-CMA-ES,3.5294117647058822,0,0.04038589690644033,0.0,17
quadratic,BasinGraph,1.2058823529411764,14,0.0,0.968627450980392,17
quadratic,CMA-ES,2.7058823529411766,0,0.040775737528714065,0.0,17
quadratic,Differential Evolution,5.235294117647059,0,0.6665382161888838,0.0,17
quadratic,Latin Hypercube Sampling,6.411764705882353,0,0.7104167496638583,0.0,17
quadratic,Multi-start L-BFGS-B,2.5588235294117645,4,0.07128102807993641,0.23137254901960785,17
quadratic,Random Search,6.352941176470588,0,0.7142085922710428,0.0,17
sum of squares,BIPOP-CMA-ES,3.025,8,0.000341169395597695,0.5233333333333333,20
sum of squares,BasinGraph,2.6,14,1.0874405685342852e-17,0.655,20
sum of squares,CMA-ES,3.325,6,0.006451911408495522,0.48,20
sum of squares,Differential Evolution,4.85,0,0.04183106617155771,0.4666666666666667,20
sum of squares,Latin Hypercube Sampling,6.15,0,0.5659850089321452,0.13,20
sum of squares,Multi-start L-BFGS-B,2.825,11,2.6813566104195384e-15,0.6083333333333333,20
sum of squares,Random Search,5.225,3,0.10859930269571103,0.2866666666666667,20
