task,dimension,variant,seed_index,seed,budget,known_optimum,initial_value,implementation_version,options_hash,nfe,fbest,normalized_gap,archive_nodes,graph_edges,graph_referential_integrity,phase_evaluations_json,history_hash,graph_hash,event_hash,trajectory_hash,runner_status,error,wall_time_seconds,detail_json_gz
BoundaryQuartic_D8,8,Full,0,20260619,1800,0.0,0.40725312499999994,2.0.0-rc1,031b9c3df716889e48e2db753c73ec960b96a0239173ce791b4ed1ee63ed0f69,1800,2.723536275625248e-10,6.687576125107078e-10,80,86,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",8edb5495b64cb4710241c6a02a878cfb4f98df1cc8c887b8ae72d7f934a6a0df,7e079c33a5ed3e60eb6094b908c7afd0d4afd606af3540306651a6f5eccd4f83,26aa6636e7ad71586b428ab6adf779cf84f4667e6a03996730a8110744be7275,9c1edc15ddc30d2246d8c5d6efb1b60149b2aa4ecb26721c9773cac60e67e263,completed,,0.14948687499963853,results_v2/ablation_mini_rc1/details/BoundaryQuartic_D8/Full.json.gz
BoundaryQuartic_D8,8,Full,1,20260620,1800,0.0,0.40725312499999994,2.0.0-rc1,031b9c3df716889e48e2db753c73ec960b96a0239173ce791b4ed1ee63ed0f69,1800,6.932559583050712e-10,1.7022729004352546e-09,80,89,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",edf6b653edff872bffe863e5238209544ed3419bb017bff952af11882ff19ba2,b21b1d477200bf23abf46d85ef9a8a31ac0ef14f776f068900cbb24023337368,210f2b424a0f2050b83bee3334f979a1416c35d16c89e47b7af059f26d9a7f12,e6b9a9adf98cc52f54b50b51e596e41006cee9e6081e88eb77aff9cd61019e3f,completed,,0.15428270799930033,
BoundaryQuartic_D8,8,Full,2,20260621,1800,0.0,0.40725312499999994,2.0.0-rc1,031b9c3df716889e48e2db753c73ec960b96a0239173ce791b4ed1ee63ed0f69,1800,3.1361759026732887e-10,7.700802547981158e-10,80,89,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",1ad22cb577fd39417ecb9b1dec8619284310c148ae10875195bf9b0e38513d7b,aae912af0183f69bc2e367d30d66fe3bd32a71b560e3dfd8362a2b4acf4ce09e,9bc1961840e28424f89bb22884ab6c60b694d3f8970ae507b710d9dcb038ad01,cca5ff19b3f399847c676cbee0fdeb2e2fc6e5dad79511f0f173fdabad50d68d,completed,,0.1522305000007691,
BoundaryQuartic_D8,8,Full,3,20260622,1800,0.0,0.40725312499999994,2.0.0-rc1,031b9c3df716889e48e2db753c73ec960b96a0239173ce791b4ed1ee63ed0f69,1800,3.32771633583437e-10,8.171125355598856e-10,80,91,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",e5993d178433e37a65e739009259aeb6316a838c0373169e874d32314be461e1,a8ce3f45d6ac61078646d59d6b742f0e38928a585c92aa66949ef5279fac5413,9a43fbf744bb6c841a65827080464512fe747baa67761befd08c782b4bd40bbc,7e91b36aeb27ee5daf6348a77e51c529cabe0eb44d5af0e8d409b07fb918b7dd,completed,,0.1523365000002741,
BoundaryQuartic_D8,8,Full,4,20260623,1800,0.0,0.40725312499999994,2.0.0-rc1,031b9c3df716889e48e2db753c73ec960b96a0239173ce791b4ed1ee63ed0f69,1800,8.010647290607487e-10,1.9669946769855944e-09,80,82,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",031b9a6639a0f4c7f89649a8a67e7c5ffab799afc8d6b001907fef86849225d3,cb55b28c79d7d56ae6bf0cf15a8baa477bccb727f00f24a90e35e850984def4c,5656a365787936716191347c635dd96c46539ae38122062706809d23f0e7897d,678f5124b9bc12ba31313f169a2d15a36ec523ca9b47d8ca1f76b465fbca2a99,completed,,0.152894415999981,
BoundaryQuartic_D8,8,NoGraphGuidance,0,20260619,1800,0.0,0.40725312499999994,2.0.0-rc1,03559d7f1644f41c688bd3ead64c203f26d6d1d0ede601a9989815eb3bdf53cb,1800,8.387324730863837e-10,2.059486893038289e-09,80,99,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",f08278240a51ec59b8ae9ac9a5c2cf1fa67073ffcbb87844bf5f5a74febc46a4,949cd24175df44ca82a9e038fbe2125b6c014b1c548d824cf17643ca264f52ed,9a2adb2cffbd5f381f6af16819e33b888179b035ad9073c53dd8fbae1df54810,7143d429e058cb95427f5a7bfd6a38c2e311c91fad91e1b6eaf831d6f6d5b485,completed,,0.060479500000838016,results_v2/ablation_mini_rc1/details/BoundaryQuartic_D8/NoGraphGuidance.json.gz
BoundaryQuartic_D8,8,NoGraphGuidance,1,20260620,1800,0.0,0.40725312499999994,2.0.0-rc1,03559d7f1644f41c688bd3ead64c203f26d6d1d0ede601a9989815eb3bdf53cb,1800,6.932559583050712e-10,1.7022729004352546e-09,80,107,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",f20c63ecb1a9adf206a55df7848f02dbda971c3914fb4cc0169895aaf263a95e,bbfcb3ec9111843af659f41997835bfe46a0c86d51eaee3f001e2948fb7ace68,6a223d5ffce35e8458c56caae74d3fd9738b0ecaee45bba111d47b9420590fd1,e86db9339e5cb0bd6264cf3f3c0affdb8d7284ac76a2ce947adf90fafd818b8e,completed,,0.07622683399949892,
BoundaryQuartic_D8,8,NoGraphGuidance,2,20260621,1800,0.0,0.40725312499999994,2.0.0-rc1,03559d7f1644f41c688bd3ead64c203f26d6d1d0ede601a9989815eb3bdf53cb,1800,4.479385313118374e-10,1.0999020113395997e-09,80,115,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",ae69e5381651d31c07861bad79333aac4dc2f5a9918e5e94ca759e218473dbbc,bf0f9012f42bd10fa63f4030810f6baa0c98cac09ccbf0d894cbf4e0fdaed6b2,1750d53fd65f20e0e34f4bb7392c3bb43040f830505f60571bc4d60a920b32fb,a2522073ea27c7cf6981ce6fd2173cdf3e8e9f53bf31772af0921ceb1446c16c,completed,,0.07502349999958824,
BoundaryQuartic_D8,8,NoGraphGuidance,3,20260622,1800,0.0,0.40725312499999994,2.0.0-rc1,03559d7f1644f41c688bd3ead64c203f26d6d1d0ede601a9989815eb3bdf53cb,1800,3.2508918723929005e-10,7.98248478116135e-10,80,110,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",ed51823314c5364d1b98a861464cf00fca4bf7ef9dced931cdc6703e6236c840,396604e4363af5045a1d6873af6f60f16bf6ff521e5bdaf655a13fafdcc67a7d,34b4acae9043d9a55a836810e91aae31fe5ad6d84eb66a98cd2a130d81ba5747,a6267b5bee2dd2001934e3c55e507e10cd057ab3a1c921ca10aaf45d4a35aaae,completed,,0.07761279199985438,
BoundaryQuartic_D8,8,NoGraphGuidance,4,20260623,1800,0.0,0.40725312499999994,2.0.0-rc1,03559d7f1644f41c688bd3ead64c203f26d6d1d0ede601a9989815eb3bdf53cb,1800,8.010647290607487e-10,1.9669946769855944e-09,80,120,True,"{""archive_fallback"": 180, ""budget_completion"": 742, ""center_local"": 171, ""coordinate_sweep"": 540, ""far_basin"": 32, ""final_polish"": 90, ""initial_design"": 45}",610986db1981f256c20a49d1523bf43834a6eb90a9a23f7aea9ba32f3a6d4306,0455167397c7b9738cb94a44c0d2aa4e918fd1aa5add7af00450698ac19cf708,63d13a40b3545eb49ea307b32b57241c7a1f28423027b4b00d167e6250bd437e,5f13933e20f386390d17b7fa817b9774c63cf8fb0108e4dce1750fd184f66e13,completed,,0.07384241700037819,
