task,variant,median_normalized_gap,mean_rank,wins,mean_archive_nodes,mean_graph_edges
BoundaryQuartic_D8,Full,8.171125355598855e-10,3.6,4,80.0,87.4
BoundaryQuartic_D8,NoArchiveFallback,2.985086306506768e-09,7.0,0,80.0,95.4
BoundaryQuartic_D8,NoFarBasin,2.640618018036123e-09,5.2,0,80.0,84.8
BoundaryQuartic_D8,NoFinalPolish,8.171121762255357e-10,1.2,4,80.0,89.4
BoundaryQuartic_D8,NoGeometryController,8.171125355598855e-10,3.6,4,80.0,87.4
BoundaryQuartic_D8,NoGraphGuidance,1.7022729004352544e-09,3.8,3,80.0,110.2
BoundaryQuartic_D8,SingleBracket,8.171125355598855e-10,3.6,4,80.0,87.4
FarBasinDoubleWell_D5,Full,0.0012945461878946,3.9,2,80.0,74.4
FarBasinDoubleWell_D5,NoArchiveFallback,0.0012945461878946,5.1,0,80.0,77.4
FarBasinDoubleWell_D5,NoFarBasin,0.0012945461878946,5.1,0,80.0,76.6
FarBasinDoubleWell_D5,NoFinalPolish,0.0012945461878946,3.6,2,80.0,76.4
FarBasinDoubleWell_D5,NoGeometryController,0.0012945461878946,3.9,2,80.0,74.4
FarBasinDoubleWell_D5,NoGraphGuidance,0.0012945461878946,5.1,0,80.0,77.6
FarBasinDoubleWell_D5,SingleBracket,0.0006472730939473,1.3,5,80.0,73.2
Rosenbrock_D5,Full,5.776204943631645e-12,3.8,4,80.0,69.4
Rosenbrock_D5,NoArchiveFallback,5.771775188725408e-12,1.8,4,80.0,67.4
Rosenbrock_D5,NoFarBasin,5.776204943631645e-12,3.4,4,80.0,64.8
Rosenbrock_D5,NoFinalPolish,6.022477245106602e-12,6.2,0,80.0,69.6
Rosenbrock_D5,NoGeometryController,5.776204943631645e-12,3.8,4,80.0,69.4
Rosenbrock_D5,NoGraphGuidance,5.8173352774296415e-12,5.2,0,80.0,78.0
Rosenbrock_D5,SingleBracket,5.776204943631645e-12,3.8,4,80.0,67.8
RotatedEllipsoid_D10,Full,1.3582118963900135e-06,6.0,0,80.0,52.4
RotatedEllipsoid_D10,NoArchiveFallback,1.2053493150634222e-06,3.0,0,80.0,48.4
RotatedEllipsoid_D10,NoFarBasin,1.3314426111491942e-06,4.0,0,80.0,38.8
RotatedEllipsoid_D10,NoFinalPolish,9.432600072358424e-07,1.0,5,80.0,51.8
RotatedEllipsoid_D10,NoGeometryController,1.3582118963900135e-06,6.0,0,80.0,52.4
RotatedEllipsoid_D10,NoGraphGuidance,1.0586371496098234e-06,2.0,0,80.0,52.2
RotatedEllipsoid_D10,SingleBracket,1.3582118963900135e-06,6.0,0,80.0,52.4
ShiftedAckley_D5,Full,1.3508878443483263e-09,3.0,5,63.0,29.0
ShiftedAckley_D5,NoArchiveFallback,1.3508878443483263e-09,3.0,5,63.2,26.4
ShiftedAckley_D5,NoFarBasin,1.3508878443483263e-09,3.0,5,63.0,29.0
ShiftedAckley_D5,NoFinalPolish,1.575846052839697e-09,7.0,0,71.6,38.6
ShiftedAckley_D5,NoGeometryController,1.3508878443483263e-09,3.0,5,80.0,51.4
ShiftedAckley_D5,NoGraphGuidance,1.4945336620277882e-09,6.0,0,80.0,51.2
ShiftedAckley_D5,SingleBracket,1.3508878443483263e-09,3.0,5,62.6,28.6
ShiftedRastrigin_D5,Full,0.11381753979335,4.0,5,80.0,76.0
ShiftedRastrigin_D5,NoArchiveFallback,0.11381753979335,4.0,5,80.0,78.0
ShiftedRastrigin_D5,NoFarBasin,0.11381753979335,4.0,5,80.0,75.2
ShiftedRastrigin_D5,NoFinalPolish,0.11381753979335,4.0,5,80.0,75.8
ShiftedRastrigin_D5,NoGeometryController,0.11381753979335,4.0,5,80.0,76.0
ShiftedRastrigin_D5,NoGraphGuidance,0.11381753979335,4.0,5,80.0,79.0
ShiftedRastrigin_D5,SingleBracket,0.11381753979335,4.0,5,80.0,76.0
ShiftedSphere_D5,Full,7.261720627324386e-18,4.5,5,80.0,67.0
ShiftedSphere_D5,NoArchiveFallback,7.261720585064385e-18,1.0,5,80.0,65.2
ShiftedSphere_D5,NoFarBasin,7.261720627324386e-18,4.5,5,80.0,64.6
ShiftedSphere_D5,NoFinalPolish,7.261720627324386e-18,4.5,5,80.0,69.4
ShiftedSphere_D5,NoGeometryController,7.261720627324386e-18,4.5,5,80.0,67.0
ShiftedSphere_D5,NoGraphGuidance,7.261720627324386e-18,4.5,5,80.0,71.4
ShiftedSphere_D5,SingleBracket,7.261720627324386e-18,4.5,5,80.0,68.2
