function_index,algorithm,mean_rank,median_rank,wins,problems
1,BIPOP_CMA_ES,1.9444444444444444,1.5,9,9
1,CMA_ES,2.0555555555555554,1.5,9,9
1,BasinGraph_v2,3.2777777777777777,3.0,9,9
1,MS_LBFGSB,3.388888888888889,3.0,9,9
1,DE,4.333333333333333,5.0,5,9
1,Random,6.444444444444445,6.0,0,9
1,LHS,6.555555555555555,7.0,0,9
2,CMA_ES,1.6666666666666667,2.0,9,9
2,BIPOP_CMA_ES,1.7777777777777777,2.0,9,9
2,BasinGraph_v2,3.5,3.0,4,9
2,DE,3.7222222222222223,4.0,3,9
2,MS_LBFGSB,4.333333333333333,5.0,6,9
2,LHS,6.444444444444445,6.0,0,9
2,Random,6.555555555555555,7.0,0,9
3,BIPOP_CMA_ES,1.6666666666666667,1.0,5,9
3,DE,2.111111111111111,2.0,3,9
3,CMA_ES,3.2777777777777777,3.5,1,9
3,BasinGraph_v2,3.3333333333333335,3.5,1,9
3,Random,5.444444444444445,5.0,0,9
3,LHS,6.0,6.0,0,9
3,MS_LBFGSB,6.166666666666667,7.0,0,9
4,BIPOP_CMA_ES,2.2222222222222223,2.0,4,9
4,DE,2.611111111111111,3.0,2,9
4,CMA_ES,2.6666666666666665,2.0,2,9
4,BasinGraph_v2,3.2777777777777777,4.0,3,9
4,LHS,5.555555555555555,6.0,0,9
4,Random,5.666666666666667,6.0,0,9
4,MS_LBFGSB,6.0,7.0,0,9
5,BasinGraph_v2,2.611111111111111,3.0,9,9
5,MS_LBFGSB,2.611111111111111,3.0,9,9
5,BIPOP_CMA_ES,3.0555555555555554,3.0,9,9
5,CMA_ES,3.111111111111111,3.0,9,9
5,DE,3.611111111111111,3.0,6,9
5,Random,6.444444444444445,6.0,0,9
5,LHS,6.555555555555555,7.0,0,9
6,BIPOP_CMA_ES,1.5555555555555556,1.5,9,9
6,CMA_ES,1.8888888888888888,2.0,9,9
6,BasinGraph_v2,3.0555555555555554,3.0,3,9
6,DE,3.9444444444444446,4.0,3,9
6,MS_LBFGSB,4.555555555555555,5.0,3,9
6,LHS,6.444444444444445,6.0,0,9
6,Random,6.555555555555555,7.0,0,9
7,BIPOP_CMA_ES,1.4444444444444444,1.0,9,9
7,DE,1.8888888888888888,2.0,6,9
7,BasinGraph_v2,3.4444444444444446,4.0,1,9
7,CMA_ES,3.6666666666666665,3.0,2,9
7,Random,5.222222222222222,5.0,0,9
7,LHS,5.333333333333333,6.0,0,9
7,MS_LBFGSB,7.0,7.0,0,9
8,BIPOP_CMA_ES,1.8333333333333333,1.5,8,9
8,CMA_ES,1.9444444444444444,2.0,8,9
8,MS_LBFGSB,3.3333333333333335,3.0,9,9
8,BasinGraph_v2,3.5,3.0,9,9
8,DE,4.388888888888889,5.0,2,9
8,Random,6.444444444444445,6.0,0,9
8,LHS,6.555555555555555,7.0,0,9
9,BIPOP_CMA_ES,1.7222222222222223,1.5,9,9
9,CMA_ES,1.8333333333333333,2.0,9,9
9,MS_LBFGSB,3.611111111111111,4.0,9,9
9,BasinGraph_v2,3.7777777777777777,4.0,9,9
9,DE,4.055555555555555,5.0,3,9
9,Random,6.222222222222222,6.0,0,9
9,LHS,6.777777777777778,7.0,0,9
10,BIPOP_CMA_ES,1.5,1.5,9,9
10,CMA_ES,1.8333333333333333,2.0,9,9
10,BasinGraph_v2,3.6666666666666665,4.0,1,9
10,DE,4.0,5.0,3,9
10,MS_LBFGSB,4.0,4.0,2,9
10,Random,6.222222222222222,6.0,0,9
10,LHS,6.777777777777778,7.0,0,9
11,BIPOP_CMA_ES,1.6666666666666667,2.0,9,9
11,CMA_ES,1.6666666666666667,2.0,9,9
11,BasinGraph_v2,3.5,3.0,0,9
11,DE,4.0,5.0,3,9
11,MS_LBFGSB,4.166666666666667,4.0,0,9
11,Random,6.444444444444445,6.0,0,9
11,LHS,6.555555555555555,7.0,0,9
12,BIPOP_CMA_ES,2.388888888888889,1.5,6,9
12,CMA_ES,2.7777777777777777,3.0,4,9
12,MS_LBFGSB,2.9444444444444446,3.0,3,9
