global_protocol_order,problem_name,instance_id,source_type,dimension_group,dimension,objective_type,constraints,algorithm,budget,seed,nfe_internal,fbest,archive_nodes,graph_edges,detail_json,box_policy,message,runner_status,error
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,BasinGraph_v2,300,20260619,300,1.7563610513611958,46,6,results_v2/cutest_mini/BasinGraph_v2_FBRAIN2LS_seed20260619.json,cutest_bounds_with_protocol_fallback,budget_exhausted,completed,
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,BasinGraph_v2,300,20260620,300,0.5482127247235851,45,4,results_v2/cutest_mini/BasinGraph_v2_FBRAIN2LS_seed20260620.json,cutest_bounds_with_protocol_fallback,budget_exhausted,completed,
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,CMA_ES,300,20260619,300,2.0671686862173115,,,,cutest_bounds_with_protocol_fallback,completed,completed,
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,CMA_ES,300,20260620,300,0.42036899891608204,,,,cutest_bounds_with_protocol_fallback,completed,completed,
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,BIPOP_CMA_ES,300,20260619,300,2.0671686862173115,,,,cutest_bounds_with_protocol_fallback,completed,completed,
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,BIPOP_CMA_ES,300,20260620,300,0.42036899891608204,,,,cutest_bounds_with_protocol_fallback,completed,completed,
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,Multi_start_LBFGSB,300,20260619,300,0.4060079824104908,,,,cutest_bounds_with_protocol_fallback,completed,completed,
1,FBRAIN2LS,FBRAIN2LS,fixed,small_2_20,4,sum of squares,bound,Multi_start_LBFGSB,300,20260620,300,0.3950628132060458,,,,cutest_bounds_with_protocol_fallback,completed,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,BasinGraph_v2,2500,20260619,2500,-10402603900000.0,80,33,results_v2/cutest_mini/BasinGraph_v2_DIAGIQT_N_50__seed20260619.json,cutest_bounds_with_protocol_fallback,budget_exhausted,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,BasinGraph_v2,2500,20260620,2500,-10402603900000.0,80,30,results_v2/cutest_mini/BasinGraph_v2_DIAGIQT_N_50__seed20260620.json,cutest_bounds_with_protocol_fallback,budget_exhausted,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,CMA_ES,2500,20260619,2500,-90651172814555.48,,,,cutest_bounds_with_protocol_fallback,completed,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,CMA_ES,2500,20260620,2500,-90570419920490.4,,,,cutest_bounds_with_protocol_fallback,completed,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,BIPOP_CMA_ES,2500,20260619,2500,-90651172814555.48,,,,cutest_bounds_with_protocol_fallback,completed,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,BIPOP_CMA_ES,2500,20260620,2500,-90570419920490.4,,,,cutest_bounds_with_protocol_fallback,completed,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,Multi_start_LBFGSB,2500,20260619,2295,-90834401423692.16,,,,cutest_bounds_with_protocol_fallback,completed,completed,
21,DIAGIQT,DIAGIQT[N=50],scalable,medium_21_100,50,quadratic,bound,Multi_start_LBFGSB,2500,20260620,2397,-91881417249142.48,,,,cutest_bounds_with_protocol_fallback,completed,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,BasinGraph_v2,3000,20260619,3000,-9.960091570393911e+39,80,0,results_v2/cutest_mini/BasinGraph_v2_HS110_N_200__seed20260619.json,cutest_bounds_with_protocol_fallback,budget_exhausted,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,BasinGraph_v2,3000,20260620,3000,-9.960091570393911e+39,80,0,results_v2/cutest_mini/BasinGraph_v2_HS110_N_200__seed20260620.json,cutest_bounds_with_protocol_fallback,budget_exhausted,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,CMA_ES,3000,20260619,3000,-6.228074127177618e+39,,,,cutest_bounds_with_protocol_fallback,completed,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,CMA_ES,3000,20260620,3000,-6.376760588259335e+39,,,,cutest_bounds_with_protocol_fallback,completed,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,BIPOP_CMA_ES,3000,20260619,3000,-6.228074127177618e+39,,,,cutest_bounds_with_protocol_fallback,completed,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,BIPOP_CMA_ES,3000,20260620,3000,-6.376760588259335e+39,,,,cutest_bounds_with_protocol_fallback,completed,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,Multi_start_LBFGSB,3000,20260619,2010,-9.960091570393911e+39,,,,cutest_bounds_with_protocol_fallback,completed,completed,
41,HS110,HS110[N=200],scalable,large_101_500,200,sum of squares,bound,Multi_start_LBFGSB,3000,20260620,2010,-9.960091570393911e+39,,,,cutest_bounds_with_protocol_fallback,completed,completed,
